taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
butyricimonas	genus	decreased	0.0	0.0	0.0	0.05722	0.0	0.090936	0.0	0.72	-0.72	False	
haemophilus	genus	decreased	0.0	0.0	0.0	0.013321	0.0	0.03464	0.0	0.72	-0.72	True	increased
eubacterium eligens	species	decreased	0.0	0.0	0.0	0.019895	0.0	0.032305	0.0	0.72	-0.72	False	
succiniclasticum	genus	decreased	0.0	0.0	0.0	0.020621	0.0	0.034586	0.0	0.712	-0.712	False	
macellibacteroides	genus	decreased	0.0	0.0	0.0	0.013076	0.0	0.019348	0.0	0.708	-0.708	False	
paraprevotella	genus	decreased	0.0	0.0	0.0	0.018928	0.0	0.143688	0.0	0.708	-0.708	True	decreased
romboutsia	genus	decreased	0.0	0.0	0.0	0.021657	0.0	0.067473	0.0	0.7	-0.7	True	decreased
solobacterium	genus	decreased	0.0	0.0	0.0	0.014284	0.0	0.028096	0.0	0.7	-0.7	True	mixed
pygmaiobacter	genus	decreased	0.0	0.0	0.0	0.009048	0.0	0.012326	0.0	0.676	-0.676	False	
clostridium	genus	decreased	0.0	0.0	0.0	0.007593	0.0	0.017126	0.0	0.672	-0.672	True	decreased
holdemania	genus	decreased	0.0	0.0	0.0	0.009142	0.0	0.018467	0.0	0.656	-0.656	True	decreased
hydrogenoanaerobacterium	genus	decreased	0.0	0.0	0.0	0.00912	0.0	0.012119	0.0	0.656	-0.656	False	
butyrivibrio	genus	decreased	0.0	0.0	0.0	0.007987	0.0	0.124898	0.0	0.652	-0.652	True	increased
oscillospira	genus	decreased	0.0	0.0	0.0	0.00729	0.0	0.013675	0.0	0.644	-0.644	True	decreased
pseudobutyrivibrio	genus	decreased	0.0	0.0	0.0	0.008497	0.0	0.013839	0.0	0.64	-0.64	False	
akkermansia muciniphila	species	decreased	0.0	0.0	0.0	0.023636	0.0	0.093032	0.0	0.636	-0.636	True	increased
papillibacter	genus	decreased	0.0	0.0	0.0	0.008068	0.0	0.013645	0.0	0.628	-0.628	False	
eisenbergiella	genus	decreased	0.0	0.0	0.0	0.007134	0.0	0.015332	0.0	0.624	-0.624	False	
bilophila	genus	decreased	0.0	0.0	0.0	0.010737	0.0	0.026511	0.0	0.62	-0.62	True	decreased
sellimonas	genus	decreased	0.0	0.0	0.0	0.007025	0.0	0.012649	0.0	0.616	-0.616	False	
senegalimassilia	genus	decreased	0.0	0.0	0.0	0.008465	0.0	0.022737	0.0	0.616	-0.616	True	increased
mogibacterium	genus	decreased	0.0	0.0	0.0	0.006024	0.0	0.009883	0.0	0.612	-0.612	True	increased
caproiciproducens	genus	decreased	0.0	0.0	0.0	0.007463	0.0	0.014227	0.0	0.608	-0.608	False	
anaerosporobacter	genus	decreased	0.0	0.0	0.0	0.006163	0.0	0.019118	0.0	0.604	-0.604	False	
porphyromonas	genus	decreased	0.0	0.0	0.0	0.005517	0.0	0.009252	0.0	0.592	-0.592	True	mixed
tannerella	genus	decreased	0.0	0.0	0.0	0.006999	0.0	0.014242	0.0	0.592	-0.592	False	
collinsella aerofaciens	species	decreased	0.0	0.0	0.0	0.00915	0.0	0.027378	0.0	0.596	-0.596	True	increased
coprothermobacter	genus	decreased	0.0	0.0	0.0	0.006145	0.0	0.01206	0.0	0.58	-0.58	False	
actinomyces	genus	decreased	0.0	0.0	0.0	0.005576	0.0	0.016758	0.0	0.576	-0.576	True	mixed
desulfovibrio	genus	decreased	0.0	0.0	0.0	0.008565	0.0	0.076837	0.0	0.568	-0.568	True	increased
anaerotruncus	genus	decreased	0.0	0.0	0.0	0.005484	0.0	0.010673	0.0	0.564	-0.564	False	
megasphaera	genus	decreased	0.0	0.0	0.0	0.005517	0.0	0.016468	0.0	0.564	-0.564	True	increased
peptococcus	genus	decreased	0.0	0.0	0.0	0.006497	0.0	0.03331	0.0	0.564	-0.564	True	increased
syntrophococcus	genus	decreased	0.0	0.0	0.0	0.006177	0.0	0.010751	0.0	0.564	-0.564	False	
anaerovorax	genus	decreased	0.0	0.0	0.0	0.005063	0.0	0.008196	0.0	0.552	-0.552	False	
sedimentibacter	genus	decreased	0.0	0.0	0.0	0.004854	0.0	0.010152	0.0	0.552	-0.552	False	
faecalitalea	genus	decreased	0.0	0.0	0.0	0.005244	0.0	0.014181	0.0	0.548	-0.548	False	
symbiothrix	genus	decreased	0.0	0.0	0.0	0.005481	0.0	0.008873	0.0	0.544	-0.544	False	
saccharofermentans	genus	decreased	0.0	0.0	0.0	0.004378	0.0	0.010861	0.0	0.54	-0.54	False	
stoquefichus	genus	decreased	0.0	0.0	0.0	0.004854	0.0	0.0097	0.0	0.54	-0.54	False	
fournierella	genus	decreased	0.0	0.0	0.0	0.005087	0.0	0.021112	0.0	0.536	-0.536	False	
clostridium	species	decreased	0.0	0.0	0.0	0.004487	0.0	0.008183	0.0	0.536	-0.536	True	decreased
faecalibaculum	genus	decreased	0.0	0.0	0.0	0.003232	0.0	0.009684	0.0	0.528	-0.528	False	
cellulosilyticum	genus	decreased	0.0	0.0	0.0	0.000243	0.0	0.011869	0.0	0.504	-0.504	False	
parabacteroides distasonis	species	decreased	0.0	0.0	0.0	0.000146	0.0	0.00885	0.0	0.5	-0.5	True	decreased
caldicoprobacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.007981	0.0	0.472	-0.472	False	
