taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
dorea formicigenerans	species	increased	0.0	0.0	0.038156	0.0	0.053124	0.002237	1.0	0.256	0.954204	True	mixed
02d06	genus	increased	0.0	0.0	0.001501	0.0	0.005297	0.0	0.72449	0.0	0.72449	False	
serratia	genus	increased	0.0	0.0	0.001551	0.0	0.013859	0.0	0.72449	0.0	0.72449	False	
bifidobacterium longum	species	increased	0.0	0.0	0.005006	0.0	0.040885	0.0	0.714286	0.0	0.714286	False	
tepidimicrobium	genus	increased	0.0	0.0	0.00163	0.0	0.003813	0.00027	0.836735	0.032	0.788082	False	
ruminococcus torques	species	increased	0.0	0.0	0.009032	0.0	0.022816	0.00093	0.959184	0.112	0.867184	False	
bacteroides plebeius	species	increased	0.0	0.0	0.146092	0.0	0.57986	0.018054	0.989796	0.156	0.893673	False	
subdoligranulum	genus	decreased	0.0	0.0	0.0	1.444249	0.0	0.89481	0.0	0.996	-0.996	False	
lachnoclostridium	genus	decreased	0.0	0.0	0.0	0.569123	0.0	0.476487	0.0	0.988	-0.988	True	increased
prevotella	genus	increased	0.0	0.0	22.528462	0.021028	2.972583	0.058166	1.0	0.8	0.998857	True	increased
staphylococcus	genus	increased	0.0	0.0	0.006757	0.0	0.010206	0.000805	0.959184	0.112	0.850531	False	
clostridium celatum	species	increased	0.0	0.0	0.001821	0.0	0.014013	0.0	0.683673	0.0	0.683673	True	decreased
agathobacter	genus	decreased	0.0	0.0	0.0	0.760537	0.0	0.601289	0.0	0.984	-0.984	False	
bulleidia	genus	increased	0.0	0.0	0.001591	0.0	0.004586	0.0	0.683673	0.0	0.683673	False	
fusicatenibacter	genus	decreased	0.0	0.0	0.0	0.605352	0.0	0.481886	0.0	0.98	-0.98	True	decreased
oscillibacter	genus	decreased	0.0	0.0	0.0	0.228321	0.0	0.217464	0.0	0.98	-0.98	True	decreased
faecalibacterium prausnitzii	species	increased	0.0	0.0	2.79331	0.0	1.274893	0.004237	1.0	0.356	0.936245	True	decreased
anaerovibrio	genus	increased	0.0	0.0	0.005927	0.0	0.035958	0.004501	0.816327	0.052	0.769959	False	
bifidobacterium adolescentis	species	increased	0.0	0.0	0.001957	0.0	0.040918	0.0	0.673469	0.0	0.673469	False	
butyricicoccus	genus	decreased	0.0	0.0	0.0	0.277617	0.000818	0.260132	0.163265	0.98	-0.976653	False	
lachnospira pectinoschiza	species	increased	0.0	0.0	0.002629	0.0	0.020195	0.000122	0.683673	0.004	0.678	True	decreased
bacteroides coprosuis	species	increased	0.0	0.0	0.000967	0.0	0.004636	0.0	0.663265	0.0	0.663265	False	
clostridium hiranonis	species	increased	0.0	0.0	0.001104	0.0	0.004966	0.0	0.663265	0.0	0.663265	False	
parabacteroides distasonis	species	increased	0.0	0.0	0.375956	0.000146	0.44997	0.00885	0.989796	0.5	0.944122	False	
alistipes	genus	decreased	0.0	0.0	0.000333	1.124385	0.006131	0.779753	0.510204	0.98	-0.965388	False	
oscillospira	genus	increased	0.0	0.0	0.257635	0.00729	0.319674	0.013675	1.0	0.644	0.956327	True	decreased
clostridium	genus	increased	0.0	0.0	0.329259	0.007593	0.383047	0.017126	1.0	0.672	0.957551	True	mixed
corynebacterium	genus	increased	0.0	0.0	0.001745	0.0	0.004155	0.000357	0.77551	0.036	0.725959	False	
